,model_name,test_dataset,train_dataset,frames_per_video_test,clip_size,elapsed_time,frame_auc,video_auc
124,xception,ConfDF_norm_v2_th,ff-orig,32,,1.8000223636627197,0.945927734375,0.97
125,recce,ConfDF_norm_v2_th,df40-fr-ff,32,,3.6072142124176025,0.6845410156249999,0.73
126,clip_base,ConfDF_norm_v2_th,df40-fs-ff,32,,3.307706832885742,0.9626269531249999,0.99
127,srm,ConfDF_norm_v2_th,df40-fr-ff,32,,4.0570759773254395,0.837685546875,0.8600000000000001
128,recce,ConfDF_norm_v2_th-bb,df40-fs-ff,32,,4.116250038146973,0.9414537217881944,0.986111111111111
129,clip_base,ConfDF_norm_v2_th-bb,df40-fr-ff,32,,3.909872055053711,0.8815850151909723,0.9027777777777777
130,meso4incep,ConfDF_norm_v2_th-bb,ff-orig,32,,1.3023831844329834,0.6187744140624999,0.625
131,srm,ConfDF_norm_v2_th-bb,df40-fr-ff,32,,4.782791376113892,0.8357408311631944,0.8888888888888888
132,clip_base,ConfDF_norm_v2_th-bb,df40-all-ff,32,,3.9179189205169678,0.9723341200086806,0.9791666666666666
133,spsl,ConfDF_norm_v2_th-bb,ff-orig,32,,2.363954544067383,0.9523281521267362,0.9791666666666666
134,rfm,ConfDF_norm_v2_th-bb,df40-fr-ff,32,,2.36733078956604,0.7643229166666667,0.7847222222222222
135,f3net,ConfDF_norm_v2_th-bb,ff-orig,32,,2.6936426162719727,0.9579264322916666,0.9791666666666666
136,recce,ConfDF_norm_v2_th-bb,df40-fr-ff,32,,4.150058269500732,0.8087090386284722,0.9027777777777778
137,capsule_net,ConfDF_norm_v2_th-bb,ff-orig,32,,3.0370230674743652,0.8358188205295138,0.8333333333333334
138,clip_large,ConfDF_norm_v2_th-bb,df40-all-ff,8,,4.028259515762329,0.9639756944444444,0.9513888888888888
139,recce,ConfDF_norm_v2_th-bb,ff-orig,32,,4.23724889755249,0.9940863715277779,1.0
140,clip_base,ConfDF_norm_v2_th-bb,df40-fs-ff,32,,3.9094066619873047,0.9692450629340278,0.9791666666666666
141,efficientnetb4,ConfDF_norm_v2_th-bb,ff-orig,32,,3.339205265045166,0.9516059027777778,0.9583333333333334
142,xception,ConfDF_norm_v2_th-bb,df40-fr-ff,32,,2.0663034915924072,0.7677544487847221,0.8333333333333334
143,spsl,ConfDF_norm_v2_th-bb,df40-fs-ff,32,,2.3369901180267334,0.8775363498263888,0.8750000000000001
144,xception,ConfDF_norm_v2_th-bb,df40-fs-ff,32,,2.070889711380005,0.8775227864583334,0.9097222222222222
145,effort,ConfDF_norm_v2_th-bb,ff-orig,8,,4.253533363342285,0.9978298611111112,1.0
146,srm,ConfDF_norm_v2_th-bb,df40-fs-ff,32,,4.7771430015563965,0.9014417860243055,0.9236111111111112
147,i3d,ConfDF_norm_v2_th-bb,df40-fs-ff,32,32.0,2.1604578495025635,0.6988168724279835,0.8055555555555556
148,meso4,ConfDF_norm_v2_th-bb,ff-orig,32,,1.2919135093688965,0.5162353515625,0.5069444444444444
149,i3d,ConfDF_norm_v2_th-bb,df40-fr-ff,32,32.0,2.1581532955169678,0.5907064471879286,0.6145833333333334
150,ucf,ConfDF_norm_v2_th-bb,ff-orig,32,,3.6488685607910156,0.9810519748263888,0.9930555555555555
151,rfm,ConfDF_norm_v2_th-bb,df40-fs-ff,32,,2.3567392826080322,0.9726969401041667,0.9930555555555555
152,clip_large,ConfDF_norm_v2_th-bb,df40-fr-ff,8,,4.033442974090576,0.9322916666666666,0.951388888888889
153,xception,ConfDF_norm_v2_th-bb,ff-orig,32,,2.064476251602173,0.9957071940104166,1.0
154,core,ConfDF_norm_v2_th-bb,ff-orig,32,,2.3489797115325928,0.9886610243055556,1.0
155,clip_large,ConfDF_norm_v2_th-bb,df40-fs-ff,8,,4.034214735031128,0.9895833333333333,0.9930555555555555
156,spsl,ConfDF_norm_v2_th-bb,df40-fr-ff,32,,2.355266809463501,0.7480672200520835,0.7777777777777778
157,xception,ConfDF_norm_v2_th-bb,df40-all-ff,32,,2.061246871948242,0.8899943033854166,0.9236111111111112
158,i3d,ConfDF_norm_v2_th-bb,df40-all-ff,32,32.0,2.171853542327881,0.6017661179698217,0.6111111111111112
159,srm,ConfDF_norm_v2_th-bb,ff-orig,32,,4.779217958450317,0.9903428819444445,1.0
